file_path,line_numbers,texts
online-editor/src/workspace/components/GitStatusIndicatorActions.tsx,"[60, 61, 91, 102, 120, 127, 134, 264, 268, 271, 294, 336, 352, 353, 361, 362, 363, 368, 396, 433, 469, 470, 477, 478]","[""revert"", ""revertAll"", ""workspaceFile"", ""row"", ""nowrap"", ""spacerMd"", ""已添加"", ""right"", ""已删除"", ""right"", ""已修改"", ""right"", ""h3"", ""column"", ""p"", ""spaceItemsXs"", ""column"", ""spacerLg"", ""row"", ""justifyContentSpaceBetween"", ""row"", ""spacerMd"", ""nowrap"", ""h4"", ""link"", ""plain"", ""link"", ""bold"", ""row"", ""nowrap"", ""grow""]"
online-editor/src/workspace/components/WorkspaceCommitModal.tsx,"[126, 130, 134, 137, 138, 148, 149]","[""text"", ""10vw"", ""justifyContentFlexEnd"", ""submit"", ""cancel""]"
online-editor/src/workspace/components/WorkspaceListItem.tsx,"[43, 44, 45, 57, 58, 59]","[""nowrap"", ""hidden"", ""ellipsis"", ""nowrap"", ""hidden"", ""ellipsis""]"
online-editor/src/workspace/components/WorkspaceLoadingCard.tsx,"[42, 53, 57, 72, 75, 82, 83, 84, 85, 97, 98, 99, 102, 105, 107]","[""down"", ""link"", ""nowrap"", ""hidden"", ""ellipsis"", ""nowrap"", ""hidden"", ""ellipsis""]"
online-editor/src/workspace/startupBlockers/StartupBlockerTemplate.tsx,"[33, 36, 37, 38, 41, 42]","[""页面头部"", ""stack"", ""none"", ""alignItemsCenter"", ""flex"", ""center"", ""Logo""]"
online-editor/src/workspace/startupBlockers/IncompatibleBrowser.tsx,"[32, 51, 56]","[""BroadcastChannel"", ""Oops!"", ""inline""]"
online-editor/src/workspace/startupBlockers/KieIcon.tsx,[23],"[""favicon.svg"", ""Logo"", ""inline"", ""1em""]"
online-editor/src/workspace/commitMessageValidationService/CommitMessageValidationService.ts,[31],"[""POST""]"
online-editor/src/reactExt/ErrorBoundary.tsx,[46],"[""Error""]"
online-editor/src/home/UploadCard.tsx,"[152, 156, 159, 162, 164, 165, 166, 174, 205, 209, 217, 218, 225, 227, 235, 236, 243, 245]","[""dropzone"", ""relative"", ""absolute"", ""none"", ""md"", ""center"", ""right"", ""md"", ""file"", ""none"", ""right"", ""md"", ""file"", ""none""]"
